,id,guest_id,rating,review,is_anonymous,reservation_id,scores_accuracy,scores_check_in,scores_cleanliness,scores_communication,scores_location,scores_value
499,495,520,9,"I stayed in Hughs apartment for XMAS / NYE 2011 / 2012 and it was the best. Not only was Hugh helpful to point us into the right direction every time we needed his help but he also let us spend NYE on his roof top. My friends and I had the most amazing view and a fabulous NYE. Thanks a lot for that. 
He was very attentive and caring. Thanks for the fantastic time Hugh. You were great!",FALSE,9,9,9,9,9,9,9
500,1237,1262,9,"Holland was very welcoming, the place was great value for money, very clean and everything required was there. Very close to both the beach and ferry. ",FALSE,9,9,9,9,9,9,9
501,496,521,8,"This apartment is a wonderful base if you're staying in Sydney for a few nights.  It is a great location - only a few minutes walk to Kings Cross train station, next door to an organic supermarket (or a 5 minute walk from a Coles supermarket... if you'd prefer), opposite Petrol Cafe which has fantastic coffee and meals and also within very close distance of all kinds of restaurants and bars.

The apartment itself is very comfortable, with huge wondows to give you a view of the city.  The kitchen is very usable, which helps if you're looking to save some money by cooking some meals for yourself.  The apartment is stocked with pretty much everything you will need during your stay.

And then there's the host - Hugh is very welcoming and generous with his time.  He'll help you with anything you need to know about the area, from directions to restaurant recommendations.

All in all, I highly recommend this apartment and will definitely stay there next time I find myself in Sydney for a week or so.",FALSE,8,8,8,8,8,8,8
502,497,522,10,"We had a most enjoyable week in Sydney and having Hugh's apartment with a beautiful city skyline view all to ourselves contributed greatly to this. Potts Point is only one suburb out from the CBD, with excellent public transport, just around the corner. We would happily stay there again and would recommend this place with no hesitation for any type of traveler!",FALSE,10,10,10,10,10,10,10
503,498,523,10,"Hugh's apartment at Potts Point was everything he said it would be and more. We loved the fact that it was in a beautiful Art Deco building in an interesting neighbourhood. It was light, airy and  very comfortable with all mod cons and  great views of the Sydney skyline from the huge windows. The location was wonderful, close to the subway, supermarkets and some wonderful restaurants.  Hugh was a perfect host, extremely helpful and responded to all our queries promptly.  This was our first trip to Sydney and we enjoyed it tremendously and a large part of this was due to being able to stay in this lovely apartment in a great city.  We would love to stay here again on our next visit to Sydney.  Thank you Hugh ---- we had a great time!

",FALSE,10,10,10,10,10,10,10
504,499,524,8,"I stayed at Hugh's apartment for a week and I found it a brilliant base to explore Sydney from. It's at a great location, literally just a few minutes walk from Kings Cross station. Hugh was very friendly and incredibly helpful, made me feel right at home. I would definitely recommend to stay there!",FALSE,8,8,8,8,8,8,8
505,500,525,9,"Edan has an amazing apartment with wonderful views over Sydney. The place is of high quality, with 3 bathrooms. As a note, the place can get warm as the air con is not super efficient, and we also lacked wifi across the building. Regardless, with such an amazing location and penthouse, we'd still book again.",FALSE,9,9,9,9,9,9,9
506,501,526,8,"We hosted a barbecue for family and friends as a post-wedding celebration. You could not ask for a more magnificent location for a small, intimate gathering that's guaranteed to impress.

Edan the host was helpful and tried hard to sort out a few minor problems over the weekend.",FALSE,8,8,8,8,8,8,8
507,502,527,10,"We had our wedding reception there, it was amazing and at night the place is spectacular! ",FALSE,10,10,10,10,10,10,10
508,503,528,8,"Great apartment with superb view on the Sydney harbour bridge and excellent location at a few hundreds meters from the heart of the City. Fits 4 to 6 people comfortably. Very nice terrace facing the bay.
Described as a luxury apartment, the price surely is! 
At such a price, one would expect everything impeccable (the apartment is worth it), mostly if one stays a whole week. The apartment lacks proper service and maintenance:
- 2 light bulbs did not work when we came in and we had to ask Edan to replace them
- silverware, plates, pots and pans are of poor quality and insufficient quantity to organize a dinner with 8 people. No tablecloth, no napkins. BarbQ on terrace in bad shape.
- probably lack of regular cleaning in the kitchen where we observed blats.
- door windows to the terrace of poor quality
- the unlimited internet is actually very limited and it is too bad we had to put pressure on Edan to fix it. This should not happen.
- finally, Edan should propose a cleaning lady even if at extra-cost and a safe box.

On a positive note, bedding is excellent and bathrooms in good conditions.

You have to be aware that 2 bedrooms face the railway and trains can be heard passing. Really not a big issue except for people with very light sleep, and possibility to put the A/C on and close the windows.
",FALSE,8,8,8,8,8,8,8
509,504,529,9,"Great penthouse with amazing views. The pictures do not do it justice. Great pool, terrace and hot tub in the master. Highly recommend for groups or families. We loved it! 


The only improvement I would make is better crockery and pans as it does not live up to the high end kitche and the rest of the apartment.",FALSE,9,9,9,9,9,9,9
510,505,530,9,This little house is quirky and cute. It suited all my needs travelling to Sydney for work and was close to everything. Jess and Nic were awesome to deal with. The house was clean and very comfortable and if you're into art they had some cool stuff on the walls :),FALSE,9,9,9,9,9,9,9
511,506,531,8,The host canceled this reservation 35 days before arrival. This is an automated posting.,FALSE,8,8,8,8,8,8,8
512,507,532,9,Jess’ place is comfortable and feels like home. It was easy to communicate with her and the check in was smooth.,FALSE,9,9,9,9,9,9,9
513,508,533,9,"Gorgeous big house
They have many experience of homestay
They made a home party for me and I played guitar with Larrie San. It was so fun. He has many guitars and I like his music corner.

This accommodation is for a traveler who has a car. Because they work until later night, no ride.",FALSE,9,9,9,9,9,9,9
514,509,534,9,"We visited Malou from the Dec. 30th, 2013 to Jan. 4th, 2014. 
It is a very beautiful, modern, clean and huge house with a very nice garden. We had a room with two single beds and a wardrobe. The beds are very huge and comfortable.
Malou and her husband made our stay very special, because were treated like part of the familiy. We were invited to their New Years Eve celebration and enjoyed it very much.
There were also other guests staying in her house, so we get in touch with other travelers and could exchange our experience with them.
Malou helped us in every situation and always had an ear for us.
Thank you, Malou for everything and we hope to see you again! 
When you will come to Germany, please let us know, so we can make your stay as comfortable as ours at your home.
We wish you and your family all the best! 
Lea and Gabriele
",FALSE,9,9,9,9,9,9,9
515,523,548,9,"Just as described: this place is elegant and stylish and in a great location. I loved staying here. The apartment's furnishings and appliances are pleasing to look at and of high quality.  It's nice to be high enough for views and a big sky. The neighbourhood is great (pretty streets, good cafes and boutiques, nearby parks), and there's a lovely walk through a park to the Edgecliff Centre with excellent food shopping and the train to city or further (eg airport). I corresponded with Edwina by email and arrangements were made promptly. Recommended.",FALSE,9,9,9,9,9,9,9
516,510,535,8,"In short : Super Clean. Well organized and perfect for those who like to see Blue Mountain aswell as Sydney Center.

Stayed a week - almost -in Rooty Hill with Malou and Larrie familie. Two very busy and nice people. A super clean place. And a cosy one aswell.

 I got to talk to the hosts. And they are great people. But as they are working hard; also weekends. You will have to keep an eye on when they are home - if you like to be social The place i's perfect for those travellers that want to split themselves between Blue Mountain and Sydney City. Its one hour to each direction by train.

I recommend for others travellers - especially those who like to see Blue Mountains.

Tips to other travellers:
On the Assuntion St side of Rooty Hill just a few shops. On the other side of the Train Station a lot of cheap Asian markeds and  restaurants. And near to Assuntion Street: Try the Indian Restaurant ""Masala Time"" - its brilliant. ",FALSE,8,8,8,8,8,8,8
517,511,536,9,Clean and easy space in the house.  Malou is chatty and helpful.  location was perfect for my equestrian event.  was great to stay somewhere so quiet and easy. would definitely recommend.  ,FALSE,9,9,9,9,9,9,9
518,512,537,9,"Absolutely seriuous! 
Fast answers, clean house, easy going people. 
No worries to book.
Nice people!",FALSE,9,9,9,9,9,9,9
519,513,538,9,"Was a great place, had a brilliant time - so easy to walk into the City centre and then explore some of the more interesting places around by foot.
Felt very much at home in this environment, in fact difficult to leave.
Place was FANTASTIC",FALSE,9,9,9,9,9,9,9
520,514,539,10,"We stayed at Katherine's home for nearly 2 month and it was simply great : )

Not just that the place has – in our opinion – the best location you could dream of, but it feels so comfortable, that you immediately feel home away from home.
It looks just like on the pictures and has a nice loft-feeling – it even is bigger, than it seems on the pictures ...
It is situated in a quite street which feels nice after a busy day Sydney.

Apart from the great place & location Katherine is a wonderful host – it turned out i needed some advice and she was just such a great help to me.

We felt so much welcome and i would recommend everybody >> if you go to Sydney >> Stay at her place, it is the best spot you can think of : )",FALSE,10,10,10,10,10,10,10
521,515,540,9,"Katherine was fabulous and extremely accommodating! She could not have been a better host and was very please with the communication!!!

The location was perfect and walking distance to all facilities! PERFECT!

Spacious apartment and have all the facilities necessary.",FALSE,9,9,9,9,9,9,9
522,516,541,8,"Sonke and Amy were very welcoming and left a nice little gift for us upon our arrival. The loft is quite roomy and the pictures are an accurate depiction of the space. Unfortunately there were animal hairs all over the apartment and cockroaches aplenty during our stay. The TV was missing cables and there is no actual dryer - it's just a drying rack. 

The neighborhood was lovely and if you are a really flexible kind of houseguest that can handle smashing some scary large cockroaches this is probably your kind of listing. ",FALSE,8,8,8,8,8,8,8
523,517,542,9,"Sonke was amazing, really helpful. The location was great, a five minute walk to the train and an easy walk into Surry hills. The house it's self was a really great area, easy to find. Only thing was it was a tad dusty which upset my friends allergies but I was fine with it. Understandable with all the interesting artwork ect. Had a really enjoyable stay :) ",FALSE,9,9,9,9,9,9,9
524,518,543,9,"Sonke & Amy were waiting for our arrival and gave us a rundown of everything we needed to know about their home & also whats happening in the surrounding areas. It was like walking into a movie scene, decorated with passion & old school charm, it felt like home for us as we have very similar tastes. Absolutely everything was there if we needed it, expect their was no TV but i soon learnt to just play more music on their old vinyl player :) They were very kind in working around our flights so we could stay longer and even left a delicious bottle of French champagne! Yum, thanks you guys hope we can come again one day :)
",FALSE,9,9,9,9,9,9,9
525,519,544,9,"We had a wonderful time at Sonke's place. The location is perfect -- we were less than a 10 minute walk to both trains and buses that took us to the beach, and were able to walk to all the rest of the places we wanted to visit in Sydney! Sonke was very responsive and easy to communicate with, and also gave us detailed instructions for our stay.",FALSE,9,9,9,9,9,9,9
526,520,545,9,"I had the opportunity to stay at Sonke place and if you are considering staying there book now! Sonke went above and beyond any air bnb experience I have had... 5 Star. His response time to any of my questions even before I booked was quick. There are a couple not so great reviews that I asked Sonke about and he was honest with all my questions. At the time of booking they were in the process of getting a new dishwasher and told me which wasnt a big deal for me. After all the information he provided i felt comfortable to book and i was 100% satisfied. Also very accommodating with my check in/out time. He meet me at his place at check in and gave me a run down of the place. There was fruit, juice and freshly ground coffee there for me. In the bathroom on top of my towel a new toothbrush. I actually felt like I was at home which was really nice when it was raining. I loved staying at Sonke loft and the space is brilliant. The place was spotless and everything has it's place. The loft is tucked away at the end of a quiet lane and there is an abundance of things to do within a 20 min walk. There are 3 grocery stores within a 5 min walk, endless restaurants to try within 5 mins and a short walk to all the night life. Hope you have an amazing time. Book!",FALSE,9,9,9,9,9,9,9
527,521,546,9,"Fantastic accommodation. So perfect for us!! It's location is awesome in the heart of Sydney, down a lane in super cool darlinghurst so very quiet. So many restaurants, cafes close by. These guys have great taste, very stylish and also practical place and easy to walk everywhere. They made a real effort to make sure everything was perfect for us and it was much appreciated. Would stay there again in a heartbeat and highly recommended!!",FALSE,9,9,9,9,9,9,9
528,522,547,9,"I really enjoyed staying at Edwina's place. The apartment is light and bright with all modern facilities. I loved the location with so many conveniences such as cafes and shops within walking distance. The city was also very close. In short, it was a fabulous home away from home for me. Edwina is a great host and is very accommodating. She managed to arrange everything for me while she was away and provided lots of information for my stay. Highly recommended :)",FALSE,9,9,9,9,9,9,9
529,524,549,9,"Edwina's place was perfect for our short stay in Sydney. Close to trendy cafes and markets and within easy walking distance to Centennial Park, which was great for kids. Apartment was clean and bright and even remained cool enough in the scorching 35 degree heat. 
Edwina (and friend Kathy) was an excellent host.  She responded quickly to our emails and was happy to help in any way.
We will definitely stay again.",FALSE,9,9,9,9,9,9,9
530,525,550,10,This was the first time my partner and I had used this airbnb service and we have to say we were most impressed!  Edwina was great to deal with.  She responded to our booking enquiry almost immediately and kept us up to date with our booking prior and during our stay.  She was on hand and happy to answer any questions we had and also sent us a document with some tips of great places to eat and see! The apartment was in a great location (15 minute walk to Bondi Junction and Oxford Street) and was very clean and full of all amenities (including kitchen facilities which was important to me).  Would highly recommend!,FALSE,10,10,10,10,10,10,10
531,526,551,9,"Edwina's flat is absolutely lovely and in such a brilliant location! Very happy to discover the bus to the city or Bondi literally out the front door.
The flat itself is nicely done and has everything you could possibly need, and Edwina was a pleasure to deal with and arrangements were made easily. Would happily stay here again. Thanks Edwina.",FALSE,9,9,9,9,9,9,9
532,527,552,8,"Carrie's place is conveniently located just a few minutes walk from Bondi Beach, as well as a short stroll to the bus stop where you can access the rest of Sydney very easily!",FALSE,8,8,8,8,8,8,8
533,528,553,8,"This was our first AIRbnb stay. The accommodation exceeded our expectations by a wide margin. I am not a professional hotel reviewer but I have stayed in quite a few. I would rate this about 4 star in terms of quality of bedding, furnishings and washing facilities. The house is full of Asian artifacts and memorabilia. Andrew and Kurina and very friendly and easy to talk to. There is a relaxing ambiance about the place which is complemented by the rather lower population density of Newington  and the garden city feel about the place. There is a shopping centre about 700m away where we ate every night for a reasonable amount.
We were offered a small breakfast in the morning....drink, cereal, toast which we were not aware of before staying there. We didn't make use of Kurina's culinary skills in the evening so we can't comment on that although we did sample some delicious asian sweets. This place is ideal for any sporting event at Olympic Park which is about 2km away. It is also easy to cycle around the area as we did because the authorities have created many wide shared paths in this part of Sydney (unlike the rest of Sydney). It is also very convenient to arrive here using the River Cat if you are travelling by public transport. If I haven't mentioned it before the double room (queen bed) is quite spacious and as far as I can ascertain the adjoining well appointed bathroom was used solely by us.  
We were able to use the kitchen to prepare drinks in the evening and Andrew had also set up a computer in the bedroom for us to use.",FALSE,8,8,8,8,8,8,8
534,529,554,9,"We had a truly lovely time staying with Andrew and Corinna.  They were such  lovely hosts and so kind to us.  They made us feel so welcome and special.  Their home is beautiful.  
The area they live in is lovely with shops and resturants very close by, as well as lakes and cycle/pathways.  We would recommend that when you stay, you take the Supercat ferry into Sydney, about 50 minutes. 

I would  definately recommend staying at Andrew and Corinna's and will stay there again if we come back to Sydney.
",FALSE,9,9,9,9,9,9,9
535,530,555,9,"One has to stay at Andrew's place to really experience  how a home can be away from your own home. Kind of attention , care and affection what Andrew,Kurina have shown is truly amazing.The place is serene,very clean , tastefully decorated and you feel that you are part of the family.I was also invited to one of the parties hosted by Andrew and Kurina and I really enjoyed the food and had a chance to meet their friends and discuss with them on various topics and see some lovely photographs of Cambodia. I used to go for long walks and must say this is an ideal place for people who want to enjoy nature.I would love to come back and stay with them.I wish Jimmy all the best in his studies and hope he does very well in life ..",FALSE,9,9,9,9,9,9,9
536,531,556,9,"Andrew and Korina are lovely people to stay with.Its been a pleasure to stay in their place and they were amazing hosts.Both of them were very sensitive about the comfortability of us and were there for help all the time.Andrew patiently listened to us and showed us the road directions initially.Moreover, its a well arranged and organised home supervised by korina.We just felt like we are at home and learnt how neat a home should be. I would recommend the place for anyone who would like to have a nice time while away.",FALSE,9,9,9,9,9,9,9
537,532,557,10,"Andrew and Kurina are wonderful hosts. We stayed for 3 nights and they were very hospitable and are very nice people to chat with. The place is very clean as well. I would no doubt recommend anyone to stay.
 ",FALSE,10,10,10,10,10,10,10
538,533,558,8,Andrew and Kurina were very attentive and anticipated every need. They even supplied a heater when they saw I was wearing a coat and they thought I would be cold in the room. The room and bed were very cosy and comfortable and there is a separate spacious guest bathroom.  Due to a death in the family I was only able to stay 1 of the 4 days I planned and Andrew and Kurina were very gracious in offering for me to ask Airbnb for a refund. ,FALSE,8,8,8,8,8,8,8
539,534,559,8,"What a hidden gem! We met as strangers, and left as friends!
Andrew and Kurina were fabulous hosts, and the house is a real gem. The location was great for us, close to Parramatta, and close to some great walks. Shops and supermarket are only a short walk away. If you stay, you must try Kurinas' cooking, you won't find better. Have no hesitation in recommending the home of Andrew and Kurina for anyone staying in the Sydney area (the ferry is only a short walk away too).",FALSE,8,8,8,8,8,8,8
540,535,560,9,"Very homely and comfortable, with a convenient moderate walk to the centre of Hornsby. Our stay was very enjoyable, with gorgeous breakfasts and good company. Linda was the perfect host and nothing was too much trouble. We wholeheartedly recommend this as a comfortable B&B, within easy reach of the centre of Sydney.",FALSE,9,9,9,9,9,9,9
541,536,561,9,"I enjoyed my stay at Linda's home a lot. Linda is a very welcoming host, friendly, hospitable and helpful. 

It's an excellent room in a lovely home.

I highly recomment this accomodation.",FALSE,9,9,9,9,9,9,9
542,537,562,10,"Staying at Linda´s home was great !  Before we met, she gave us very useful tips and when we arrived she was friendly and nice. We had everything we need in the house. 100% recommended! 
Thanks for everything Linda! 

",FALSE,10,10,10,10,10,10,10
543,538,563,9,"This was my first time using airbnb and it couldn’t have been better. Linda is a fantastic host, very friendly and a pleasure to talk to. This is a lovely home in a great location, only a 10 minute walk from the train station and shopping centre. Linda made me feel very welcome and I would easily recommending the Bushwalkers as a place to stay.",FALSE,9,9,9,9,9,9,9
544,612,637,8,"tres bien place, au coeur de Bondi Beach. Bien équipé, si ce n'est que l'on ne peut pas utiliser la clim la nuit ou alors vous devrez payer. A 150 euros la nuit c'est un peu fort !!!!!!!",FALSE,8,8,8,8,8,8,8
545,539,564,9,"My stay at Linda's place was my first airbnb experience and was extremely pleasant.  Linda is an accommodating, considerate and generous hostess.  The accommodation is very comfortable and conveniently located with easy access to public transport.  The continental breakfasts were lovely!  I would definitely stay again.",FALSE,9,9,9,9,9,9,9
546,540,565,9,"Beautiful apartment, close to transport and beaches, very clean and nicely appointed - would definitely recommend to anyone looking for somewhere to stay in Sydney :)",FALSE,9,9,9,9,9,9,9
547,541,566,8,"A bus stop right outside for Manly, very convenient. Manly is either 6 mins or 25 mins, depending which bus/ luck. Manly is awesome! Lots of cafes, restaurants, laid back, beaches.",FALSE,8,8,8,8,8,8,8
548,542,567,10,"We stayed at Valentyn's place for a week and had a great time. The location is very good (close to Coogee Bay Road and Coogee Beach), and Valentyn responded very quickly to all our questions. ",FALSE,10,10,10,10,10,10,10
549,543,568,10,Great apartment and great service from Valentyn. Thank you!,FALSE,10,10,10,10,10,10,10
550,544,569,9,"What a great experience! The Two bedrooms with a kitchen worked out perfect for traveling with my parents. The Apartment was clean and well located close to the beach and grocery store, were we got food for most of our meals. The bed was probably the most comfortable Iv been in while traveling. This was my first time with the whole place to myself on airbnb. It felt like it was our own home away from home. Thanks for putting  so much thought into making your place into a holiday getaway. Oh and the WiFi was fast and very convenient to have while traveling.

We were there a whole week and found that the MyMultiday pass that covers the entire system worked out great. We were even able to travel to the Blue Mountains with that. There was a bus stop right at the corner of the street that took us to downtown were we were able to connect onto ferries and Trains very easily.

Another thing that I loved were the flocks of parrots that would come flying by every morning to be fed by a neighbor from their balcony. ",FALSE,9,9,9,9,9,9,9
551,545,570,10,"Very good contact and information provided by Valentyn. He was always very eager to help us and made our stay that much better! Very good location, minutes walk to Coogee Beach and lots of shops. Would love to return again some day. Fast wifi, clean place.",FALSE,10,10,10,10,10,10,10
552,546,571,9,"Myself and two friends stayed here for 7 nights.
The apartment was wonderful, clean and tidy!
Coogee bay is about a 5min walk, there is a great variety of Bars/Restaurants and even a supermarket.
For the price we paid, this accommodation was second to none. It actually worked out about the same price to stay in backpackers.
I would highly recommend to anyone wishing to find an alternative to Hotels or backpackers.",FALSE,9,9,9,9,9,9,9
553,547,572,8,"We had a very pleasant stay while at Valentyn's. The apartment completely conforms to its description. It is well equiped and you get all you need for the daily routine + the two beds are really comfortable. It suited us well with two children and Coogee beach is only a short walk away with a nice playground closeby.
Valentyn was away when we got there but his friend welcomed us very nicely in his absence. 
We completely recommend this place for your stay around Sydney!",FALSE,8,8,8,8,8,8,8
554,548,573,8,"Everything was so clean and tidy, felt so welcoming.  I really appreciated your showing me around the week before we 'moved in', and the useful clear notes.     Thank you for allowing us to use your lovely flat.",FALSE,8,8,8,8,8,8,8
555,549,574,10,The house was really nice and in perfect location! Loved it,FALSE,10,10,10,10,10,10,10
556,550,575,9,"Monica's description of her flat is a bright and happy haven is perfect. It has a very peaceful feel to it, is beautifully maintained and has all you need. The location is great,being  a five minute walk from the wonder and madness of Campbell Parade, which is the main drag of Bondi.And its just a few minutes up the hill to the shops and restaurants of Bondi Rd.

I had a very happy month.",FALSE,9,9,9,9,9,9,9
557,551,576,9,Everything went smoothly for my US staff member - he loved being so close to the action in such a quintessentially Sydney area. ,FALSE,9,9,9,9,9,9,9
558,552,577,9,"Monica's place is amazing.  A lovely flat - more spacious than it looks in the photos - and everything you'll need for a stay in famous Bondi Beach!  It's light, airy and has a great feel about it, as Monica has some fantastic artwork all over the place.

You are literally minutes from the beach - just a quick walk down and right straight into the heart of Bondi.  Go down and left, and you get to Hall Street with it's great restaurants and bars. Go up, and you're on Bondi road - agin more great bars and restaurants - definitely try upstairs at The Corner House.

This was our first time in Bondi and Monica's place made an amazing centre for us to explore. Great travel links too.

We loved our time here - thanks!",FALSE,9,9,9,9,9,9,9
559,553,578,10,Excellent artistic apartment in a brilliant location. Kitted out with everything you could ever need and generally just a lovely light place to stay.,FALSE,10,10,10,10,10,10,10
560,554,579,9,"Great place, close to the beach with everything you need. Monica is lovely and both very helpful and quick to respond.",FALSE,9,9,9,9,9,9,9
561,555,580,9,We spend a month in this Airbnb and really liked it. Very close to the beach and to everything Bondi has to offer. Good connection with public transport to the city centre. I would recommend this place to everyone.,FALSE,9,9,9,9,9,9,9
562,556,581,8,the place is very close to public transport and super close to bondi beach!,FALSE,8,8,8,8,8,8,8
563,557,582,9,"This Studio was spacious and filled with light, incredibly clean and set in an amazing historic old art deco building. The morning sun light was a delight and the roof top has incredible views over to the harbour bridge! The location was absolutely brilliant! It was a bargain price and Angelique was a welcoming and readily available for any questions I had. I highly recommend this apartment and wish I could move in and stay forever! I will definitely be back.",FALSE,9,9,9,9,9,9,9
564,558,583,9,Lovely studio in a great location. Plenty of good restaurants and stores nearby. Also has spectacular views from the top floor. Angelique was very helpful and gracious in letting us check in early after a long flight.,FALSE,9,9,9,9,9,9,9
565,589,614,9,Our stay at 270° harbor in Sydney has been very great! Ratih is a lovely host and we enjoyed the 3 days we spent there. She is very welcoming and we loved her home made chocolate ;-) she gave us many good deals to hang around in the right areas in Sydney. We totally recommend this place! Thanks for everything ,FALSE,9,9,9,9,9,9,9
566,613,638,9,"The flat has been recently remodeled and is super-comfortable. Location is absolutely perfect smack in the heart of Bondi. Would happily stay here again.

Thanks!

Hikaru",FALSE,9,9,9,9,9,9,9
567,559,584,9,"What a stunning house! They say they've been in it for about 10 years but feels like it was built yesterday. Phenomenal view with lovely hosts. The location is great if you want to be close to Sydney, but far enough away to enjoy the peace, quiet and even the stars! A great opportunity for travellers and locals alike...

There's plenty of restaurants an easy walk away, giving you a taste of a variety of delicacies, plus a supermarket, liquor store and the like... We enjoyed some delicious Thai on our visit, which we had delivered and put a movie on to enjoy the comforts of the location, and were treated to a light breakfast from our hosts in the AM.

The layout of the house essentially provides you with your own floor and bathroom, if you're staying in one of the two double rooms, or one single room downstairs. So plenty of privacy. I brought a few members of my family along in this instance, to celebrate my Dad's birthday, and it was the perfect place to do this.

Getting here via public transport is easy - there are several buses that head here direct from the city, and then it's an easy walk up to the house. But do know it's a long bus trip. A car would be preferable. Walking down to the beach is naturally just as easy, so here's hoping for good weather for you! Unfortunately ours wasn't the best but it was still beautiful. Newport Beach is one of my personal favourite beaches in Sydney - it's definitely worth a visit, and this would be the perfect place to stay when you do!",FALSE,9,9,9,9,9,9,9
568,560,585,9,"Dennis and Heather are a brilliant couple, and made our stay most enjoyable.
Their home is even more glorious than the pictures, and we would certainly stay again- highly recommended.",FALSE,9,9,9,9,9,9,9
569,561,586,9,"Dennis and Heather are simply amazing!  they are kind, knowledgeable, considerate and generous...  their house is lovely; it is wonderfully comfortable, with rooms that are situated in their own zone and very private, but still part of their home, and beautifully spotless...  and the view, wow, it's just stunning...  the location is also fantastic, both within Newport, as well as its proximity with other nearby beaches...  i loved staying with the Fardy family, and wish someday to return...  ",FALSE,9,9,9,9,9,9,9
570,562,587,9,Dennis and Heather where most welcoming and very helpful. Great breakfast with amazing views of the ocean. Accommodation well appointed and very private. Hope to come back and stay again. ,FALSE,9,9,9,9,9,9,9
571,563,588,10,"Dennis and Heather were absolutely wonderful hosts.  The apartment we rented was perfect; spacious/clean/breath taking views ( it even had a coffee bar and mini fridge). They were very friendly and helped us with all of our questions related to the area. Heather even picked us up at an event we attended in the area, which was super helpful.  The delicious breakfast provided every morning was served on the veranda got our day started off in a great direction. We highly recommend staying with them, &  hope to do so again in the future. : )",FALSE,10,10,10,10,10,10,10
572,564,589,10,"What an amazing and beautiful place to stay! Great views, gorgeous room, tasty breaky and all topped off with fantastic hosts... I really can't praise this gorgeous northern beaches home enough. Really looking forward to staying here again!... :) ",FALSE,10,10,10,10,10,10,10
573,565,590,9,"Anna and Andrew are a fantastic couple, very attentive and helpful.
The location of the house is fantastic and Anna and Andrew give a good indication of what you can do for Sydney.
The relationship was great and would like to be with them more times in the future.
Thank you both for all the good times we spent there.",FALSE,9,9,9,9,9,9,9
574,566,591,9,"The house was in a terrific location, just a short walk from Crown and Oxford streets, and less than 5 minutes from a supermarket. No problems catching buses to other parts of town too. Anna and Andrew are very pleasant and chilled out folks. It was a comfortable stay and they provided lots of helpful travel materials and wifi. Super charming house with beautiful backyard!",FALSE,9,9,9,9,9,9,9
575,567,592,10,Anna and Andrew were amazing hosts while I stayed with them in Sydney! They were both very friendly and helpful and their home was very comfortable and relaxed. I definitely recommend them as perfect Sydney airbnb hosts!,FALSE,10,10,10,10,10,10,10
576,568,593,10,"Really good location, Anna and Andrew are very friendly and interesting people. I liked their place, I felt confortable and I had good vibration.
",FALSE,10,10,10,10,10,10,10
577,569,594,10,A lovely couple in a beautiful house in a great location. What more could you ask for. Anna and Andrew were excellent hosts and the room was very comfortable. The location is great because you can walk right to the heart of the city with ease and get a short bus out to Bondi. Lovely! ,FALSE,10,10,10,10,10,10,10
578,570,595,9,"Anna and Andrew were excellent hosts - very thoughtful and prepared. Their home is just as pictured - clean, modern and comfortable. They made toiletries available such as shampoo/conditioner...and even sunscreen! They were also incredibly flexible, as I had to shorten my stay unexpectedly due to a death in the family. They were very understanding and were willing to change my reservation and refund me for one night. Their communication was incredibly prompt and friendly. I would highly, highly recommend this couple as hosts. The area is also a very charming neighbourhood--close to galleries, cafes, restaurants, shopping.",FALSE,9,9,9,9,9,9,9
579,571,596,9,"This is what Airbnb is all about! Friendly, comfortable accommodation with no hassles. Anna and Andrew were a lovely pair who welcomed us warmly and gave us space to relax and come and go as we pleased. Their place is in an ideal location for shopping, restaurants, parks and cafes - not far to anything. While their place is on the small side, it was all we really needed. Bed was comfortable and place was clean and tastefully decorated.",FALSE,9,9,9,9,9,9,9
580,572,597,10,"Great stay, Anna and Andre were wonderful and kind hosts. The Appartment is superbly located and you get around easily with public transportation if necessary (Bondi etc.).
",FALSE,10,10,10,10,10,10,10
581,573,598,9,"We stayed at the house for 2 nights and my boyfriends' parents stayed for four.  The place is amazing! Beautiful and spacious ...and really quite convenient to get into the city. We also really enjoyed hanging around Glebe - there are some great cafes, bars and places to eat just down the road and its only a short walk from the water.
Even though we didn't get to meet Kathy she left us some useful information about getting around etc.
Thanks Kathy for a great weekend away.",FALSE,9,9,9,9,9,9,9
582,608,633,10,"Beautiful apartments in a stunning area - the indoor pool, spa and suana were just amazing and Gregory was the perfect host with easy conversation. Highly recommend!",FALSE,10,10,10,10,10,10,10
583,609,634,10,"We love the place, 

Gregory is a perfect anfitrión",FALSE,10,10,10,10,10,10,10
584,610,635,10,"A very easy place to stay, a nice apartment and host, and close to the train station. Very good swimming pool. Recommended.",FALSE,10,10,10,10,10,10,10
585,574,599,9,"I recently had the pleasure of staying in Kathy's beautiful home for four nights with my family. It was our first experience of Airbnb and I suspect we have been spoiled! 
The house was fabulous - central enough to explore the attractions, but on a quiet street in a great suburb. With the light railway and range of bus routes at the end of the road, we were glad not to have bothered hiring a car. Our children particularly loved the waterfront walk - taking in the playpark and cafe. 
The house was spotless and Kathy had thoughtfully left information about the area along with the house manual, which we really appreciated.
I much preferred the experience of staying in a home to squeezing into an impersonal hotel. And it was lovely to meet Kathy just as we were leaving for the airport.
I wholeheartedly recommend Kathy's home and hope to someday return there too. ",FALSE,9,9,9,9,9,9,9
